Термин;Значение;№
Администратор;Пользователь, обладающий правами на редактирование данных;3
Географическая область;Пространство на карте, включающее в себя некоторое ненулевое количество объектов инфраструктуры;7
Гость;Лицо, пользующиеся сервисом;1
Инфраструктура;Совокупность элементов инфраструктуры, разнообразие и взаимное расположение которых определяет состояние инфраструктруры в целом;6
Объект инфраструктуры;Конкретное учреждение, располагающееся в здании или совокупности близкорасположенных зданий, обеспечивающее деятельность общества в какой либо из рассматриваемых сфер деятельности (обучение, медицина, транспорт, торговля);4
Параметры для поиска географической области;"Пары ""элемент/объект инфраструктуры - значение"", задаваемые пользователем и отображающие то, насколько система при подборе географической области будет ориентироваться на данный элемент/объект инфраструктуры.";8
Пользователь;Гость, прошедший процедуру аутентификации;2
Собщение об исправлении;Стандартизованная форма подачи запроса о внесении изменения определенного типа в базу данных;10
Тип изменения;Удаление, добавление, изменение данных об имени/местоположении/контактной информации;9
Элемент инфраструктуры;Совокупность объектов инфраструктуры, относящихся к одной сфере деятельности. В проекте рассматриваются следующие элементы инфраструктуры: детские сады, продуктовые магазины, больницы, учебные заведения, метро;5
